Initial cost=,14.586
Generation,BestCost,MeanCost
886,4.1595,4.59943
887,4.1595,4.60186
888,4.1595,4.60347
889,4.1595,4.60652
890,4.1595,4.60124
891,4.1595,4.60148
892,4.1595,4.59775
893,4.1595,4.59972
894,4.1595,4.59952
895,4.1595,4.6061
896,4.1595,4.6013
897,4.1595,4.60135
898,4.1595,4.60271
899,4.1595,4.6039
900,4.1595,4.59872
901,4.1595,4.59598
902,4.1595,4.59281
903,4.1595,4.59389
904,4.1595,4.58831
905,4.1595,4.59114
906,4.1595,4.58928
907,4.1595,4.59073
908,4.1595,4.58695
909,4.1595,4.59172
910,4.1595,4.5916
911,4.16735,4.58308
912,4.16735,4.58314
913,4.16735,4.57556
914,4.16735,4.57306
915,4.16735,4.56525
916,4.16735,4.56915
917,4.16735,4.57327
918,4.16735,4.57936
919,4.16735,4.5723
920,4.16735,4.58018
921,4.16735,4.5825
922,4.16735,4.57643
923,4.16735,4.57222
924,4.16735,4.58243
925,4.16735,4.58066
926,4.16735,4.57627
927,4.16735,4.5745
928,4.16735,4.57717
929,4.16735,4.57551
930,4.16735,4.57397
931,4.16735,4.57638
932,4.16735,4.56943
933,4.16735,4.57149
934,4.16735,4.57683
935,4.16735,4.58324
936,4.16735,4.58018
937,4.16735,4.57765
938,4.16735,4.57617
939,4.16735,4.58114
940,4.16735,4.57896
941,4.16735,4.57507
942,4.16735,4.5722
943,4.16735,4.57061
944,4.16735,4.57279
945,4.16735,4.5731
946,4.16735,4.57344
947,4.16735,4.5713
948,4.16735,4.57122
949,4.16735,4.57238
950,4.16735,4.57014
951,4.16735,4.57319
952,4.16735,4.57928
953,4.16735,4.58735
954,4.16735,4.59248
955,4.16735,4.58765
956,4.16735,4.59006
957,4.16735,4.59215
958,4.16735,4.59082
959,4.16735,4.58683
960,4.16735,4.58019
961,4.16735,4.57644
962,4.16735,4.57504
963,4.16735,4.57561
964,4.16735,4.57496
965,4.16735,4.5763
966,4.16735,4.5765
967,4.16735,4.57729
968,4.16735,4.57287
969,4.16735,4.57286
970,4.1595,4.56993
971,4.16735,4.56914
972,4.16735,4.57138
973,4.16735,4.57015
974,4.16735,4.56892
975,4.16735,4.56616
976,4.16735,4.56197
977,4.16735,4.56462
978,4.16735,4.5583
979,4.16735,4.56252
980,4.16735,4.56392
981,4.16735,4.56051
982,4.16735,4.55903
983,4.16735,4.5607
984,4.16735,4.55954
985,4.16735,4.55797
986,4.16735,4.55664
987,4.16735,4.55823
988,4.16735,4.5622
989,4.16735,4.56106
990,4.1595,4.56394
991,4.16735,4.56156
992,4.16735,4.55346
993,4.16735,4.55576
994,4.16735,4.54919
995,4.16735,4.54592
996,4.16735,4.55346
997,4.16735,4.55661
998,4.16735,4.55821
999,4.16735,4.5587
